id,hebrew,transliterated
3528,הנה עתה מוכרחה ישראל לעשות הכל כדי שערבים לא ייפגעו,hnh yth mwkrxh ieral lyewt hkl kdi eyrbim la iipgyw
3529,הדולר של פרס נובל לשלום,hdwlr el prs nwbl lelwm
3530,שהוא אולי הפרס הבעייתי מכל הפרסים שהורה,ehwa awli hprs hbyiiti mkl hprsim ehwrh
3531,הדינמיט להעניק מתוך קרן על שמו,hdinmiv lhyniq mtwk qrn yl emw
3532,על השאלה שמעתי בטלוויזיה הבריטית,yl healh emyti bvlwwizih hbrivit
3533,תשובות מרירות,tewbwt mrirwt
3534,מפי אותם מרואיינים מבוקשים כל כך האנשים בתורים,mpi awtm mrwaiinim mbwqeim kl kk haneim btwrim
3535,לירקות במוסקווה ובלניגרד,lirqwt bmwsqwwh wblnigrd
3536,אשה אחת השיבה תשובה נשית קלסית,aeh axt heibh tewbh neit qlsit
3537,תקנה לה בטח עוד כמה מחרוזות יהלומים,tqnh lh bvx ywd kmh mxrwzwt ihlwmim
3538,ואיש צעיר אחד מיהר לחשב את,waie cyir axd mihr lxeb at
3539,של הפרס ברובלים חסרי,el hprs brwblim xsri
3540,הערך והגיע למסקנה הבאה,hyrk whgiy lmsqnh hbah
3541,לכל כך הרבה,lkl kk hrbh
3542,אין מקום אפילו בדאצה שלו,ain mqwm apilw bdach elw
3543,בטח ישאיר את זה בבנק שווייצרי בדולרים,bvx ieair at zh bbnq ewwiicri bdwlrim
3544,חתן הפרס עצמו הגיב כיאה וכנאה בצניעות מופלגת,xtn hprs ycmw hgib kiah wknah bcniywt mwplgt
3545,כשהוא מייחס את הענקת,kehwa miixs at hynqt
3546,לא לזכותו אלא לזכותה של הפרסטרויקה,la lzkwtw ala lzkwth el hprsvrwiqh
3547,כלכלנים מסוימים,klklnim mswimim
3548,גם סובייטים,gm swbiivim
3549,יטענו בוודאי שבעד הפרסטרויקה,ivynw bwwdai ebyd hprsvrwiqh
3550,לפחות בצורתה הנוכחית,lpxwt bcwrth hnwkxit
3551,מגיע להוגה,mgiy lhwgh
3552,כמעט כל דבר אחר מלבד פרס,kmyv kl dbr axr mlbd prs
3553,קראתי שאלפרד נובל יזם את הקרן לפרס נובל,qrati ealprd nwbl izm at hqrn lprs nwbl
3554,כדי לכפר על המצאתו ההרסנית,kdi lkpr yl hmcatw hhrsnit
3555,אם כך הדבר,am kk hdbr
3556,נדמה שהוא היה כימאי טוב,ndmh ehwa hih kimai vwb
3557,פסיכולוג מפוקפק מאוד,psikwlwg mpwqpq mawd
3558,אין כמו הפרסים הללו כדי להצית מחלוקת ומריבה,ain kmw hprsim hllw kdi lhcit mxlwqt wmribh
3559,לעיתים הרסנית בעליל,lyitim hrsnit bylil
3560,הענקת הפרס לפוליטיקאים פעילים היתה תמיד מעשה נמהר,hynqt hprs lpwliviqaim pyilim hith tmid myeh nmhr
3561,לפעמים מר,lpymim mr
3562,די להזכיר את חתן הפרס לשנת 3791,di lhzkir at xtn hprs lent 3791
3563,הנרי קיסינגר,hnri qisingr
3564,בו יחד עם לה דוק תו לזכות של האחרון ייאמר שהוא סירב לקבל את הפרס,bw ixd ym lh dwq tw lzkwt el haxrwn iiamr ehwa sirb lqbl at hprs
3565,התוכנית שאיפשרה את הפלישה של צפון וייטנאם לדרום וייטנאם זמן קצר לאחר,htwknit eaiperh at hplieh el cpwn wiivnam ldrwm wiivnam zmn qcr laxr
3566,מכן,mkn
3567,על פרס נובל לשלום שזכו בו שני חתנים אחרים מוטב לא לדבר,yl prs nwbl lelwm ezkw bw eni xtnim axrim mwvb la ldbr
3568,די ברמז,di brmz
3569,שאחד מהם יצא זמן לא רב לאחר קבלת הפרס למלחמה ששמה היה,eaxd mhm ica zmn la rb laxr qblt hprs lmlxmh eemh hih
3570,מלחמת שלום,mlxmt elwm
3571,הגליל,hglil
3572,אולי הנוסח האורווליאני הזה היה מושפע ממחויבותו של חתן הפרס,awli hnwsx hawrwwliani hzh hih mwepy mmxwibwtw el xtn hprs
3573,על שמו נקרא הפרס,yl emw nqra hprs
3574,לגבי הפוליטיקאים יפה האמרה שאני טובע ברגע זה,lgbi hpwliviqaim iph hamrh eani vwby brgy zh
3575,משקל פסוק הסיום של,meql pswq hsiwm el
3576,אדיפוס המלך,adipws hmlk
3577,גם הוא פוליטיקאי כושל,gm hwa pwliviqai kwel
3578,תאמר על פוליטיקאי שהוא פעל טובה עד שהוא מת,tamr yl pwliviqai ehwa pyl vwbh yd ehwa mt
3579,ואפשר להמשיך,waper lhmeik
3580,לטובת,lvwbt
3581,הנורווגית,hnwrwwgit
3582,ולומר,wlwmr
3583,ופרסים אל תעניק לו אפילו אז,wprsim al tyniq lw apilw az
3584,ליתר ביטחון,litr bivxwn
3585,וכדי להרבות שלום,wkdi lhrbwt elwm
3586,בהחלט בטוח יותר להעניק את הפרסים הללו לנזירות,bhxlv bvwx iwtr lhyniq at hprsim hllw lnzirwt
3587,ביתומי כלכותה,bitwmi klkwth
3588,אף שקראתי לא מעט התקפות על הפרס שקיבלה האם תרזה,ap eqrati la myv htqpwt yl hprs eqiblh ham trzh
3589,לה לא מפרגנים,lh la mprgnim
3590,כמה שחתן הפרס הזה,kmh extn hprs hzh
3591,ושמא חתני כל יתר הפרסים באשר הם,wema xtni kl itr hprsim baer hm
3592,יהיו צנועים וידברו על כך שהפרס ניתן לא להם אלא למה שהם מייצגים,ihiw cnwyim widbrw yl kk ehprs nitn la lhm ala lmh ehm miicgim
3593,יהיו אלה שלא יפרגנו,ihiw alh ela iprgnw
3594,ולמצער לא יהיו מרוצים מכך שהפרס ניתן למישהו,wlmcyr la ihiw mrwcim mkk ehprs nitn lmiehw
3595,או למישהו בכלל,aw lmiehw bkll
3596,רוח היא באדם,rwx hia badm
3597,כדי לא להבין רוח זו היה אלפרד נובל,kdi la lhbin rwx zw hih alprd nwbl
3598,להיות תמים במידה מפליאה,lhiwt tmim bmidh mpliah
3599,או שוודי,aw ewwdi
3600,כך או כך,kk aw kk
3601,השד שהוא הוציא מן הבקבוק,hed ehwa hwcia mn hbqbwq
3602,ואין הכוונה לדינמיט,wain hkwwnh ldinmiv
3603,הוא שד הקנאה והמחלוקת,hwa ed hqnah whmxlwqt
3604,עונת פרסי נובל היא,ywnt prsi nwbl hia
3605,העלבונות,hylbwnwt
3606,ההתקלסויות וגסות הלב,hhtqlswiwt wgswt hlb
3607,מעולם לא השתוקקתי להיות מיכאיל גורבצוב,mywlm la hetwqqti lhiwt mikail gwrbcwb
3608,אך בימים אלה אינני משתוקק להיות אפילו חתן אהוד ולא מזיק כל כך כמו,ak bimim alh ainni metwqq lhiwt apilw xtn ahwd wla mziq kl kk kmw
3609,פאס,pas
3610,חתן פרס נובל לספרות לשנה זו,xtn prs nwbl lsprwt lenh zw
3611,דווקא על מעמדו אין חולקים,dwwqa yl mymdw ain xwlqim
3612,לא בכלי התקשורת,la bkli htqewrt
3613,לפחות לא ככל שמדובר בספרות,lpxwt la kkl emdwbr bsprwt
3614,על פאס כאיש פוליטי,yl pas kaie pwlivi
3615,שמאלן שפנה ימינה ככל שבגר,emaln epnh iminh kkl ebgr
3616,קו משותף לו ולגורבצוב,qw mewtp lw wlgwrbcwb
3617,אפשר,aper
3618,התקפות לרוב,htqpwt lrwb
3619,זה שנים,zh enim
3620,בעיתוני השמאל הלטינו,byitwni hemal hlvinw
3621,אמריקאיים,amriqaiim
3622,אלה,alh
3623,את יצירתו השירית והמסאית מוכרחים להתפעל ממנה,at icirtw heirit whmsait mwkrxim lhtpyl mmnh
3624,אף שאני מעדיף את,ap eani mydip at
3625,הביקורתית שלו על פני שירתו שהיא,hbiqwrtit elw yl pni eirtw ehia
3626,ככלות הכל,kklwt hkl
3627,זו שזיכתה אותו בפרס,zw ezikth awtw bprs
3628,או שמא היתה זו מרכזיותו כאיש ספרות לטינו,aw ema hith zw mrkziwtw kaie sprwt lvinw
3629,אמריקאי,amriqai
3630,כעורך כתב,kywrk ktb
3631,המשפיע ביותר,hmepiy biwtr
3632,וכמועמד הטבעי בתורת,wkmwymd hvbyi btwrt
3633,הזקן הגדול הנוכחי של הספרות הלטינו,hzqn hgdwl hnwkxi el hsprwt hlvinw
3634,אמריקאית,amriqait
3635,לטעון זאת משמע כבר להתחיל,lvywn zat memy kbr lhtxil
3636,ללכלך,llklk
3637,אך האם אפשר לא,ak ham aper la
3638,קלות,qlwt
3639,לרמוז רמזים עולבים וכיוצא בזה,lrmwz rmzim ywlbim wkiwca bzh
3640,כשהמדובר בפרס נובל,kehmdwbr bprs nwbl
3641,או,aw
3642,פרס ספרותי כלשהו,prs sprwti klehw
3643,זכורה לי תגובתו של העיתונאי השנון אוברון וו,zkwrh li tgwbtw el hyitwnai henwn awbrwn ww
3644,של איוולין וו,el aiwwlin ww
3645,שלא זכה,ela zkh
3646,כמובן,kmwbn
3647,בפרס נובל לספרות,bprs nwbl lsprwt
3648,על,yl
3649,של ויליאם גולדינג,el wiliam gwlding
3650,המחשבה שחבורה של שוודים זקנים מחליטים מיהו,hmxebh exbwrh el ewwdim zqnim mxlivim mihw
3651,האנגלי הגדול ביותר בימינו טורדת את מנוחתי,hangli hgdwl biwtr biminw vwrdt at mnwxti
3652,על כך אפשר היה לומר,yl kk aper hih lwmr
3653,אם לא חבורה של שוודים זקנים יחליט בעניין זה,am la xbwrh el ewwdim zqnim ixliv byniin zh
3654,והתשובה הרצינית מדי תהיה,whtewbh hrcinit mdi thih
3655,ותכוון לגופם של כל הפרסים,wtkwwn lgwpm el kl hprsim
3656,הרעיון שקיים דבר כמו,hryiwn eqiim dbr kmw
3657,הסופר הגדול ביותר,hswpr hgdwl biwtr
3658,של ספרות לאומית מופרך מעיקרו,el sprwt lawmit mwprk myiqrw
3659,בעצם,bycm
3660,לא פחות מופרכת היא התפיסה,la pxwt mwprkt hia htpish
3661,מסוים אחד פעל יותר מכל האחרים,mswim axd pyl iwtr mkl haxrim
3662,או בכלל,aw bkll
3663,למען השלום העולמי,lmyn helwm hywlmi
3664,מכר לונדוני,mkr lwndwni
3665,רוסי שלי הגיב על זכייתו של גורבצוב בפרס נובל לשלום במלים אלו,rwsi eli hgib yl zkiitw el gwrbcwb bprs nwbl lelwm bmlim alw
3666,טוב,vwb
3667,לפחות לא נתנו אותו השנה לסדאם חוסיין,lpxwt la ntnw awtw henh lsdam xwsiin
3668,העוקץ,hywqc
3669,כמובן,kmwbn
3670,במלה,bmlh
3671,השנה,henh
3672,אבל נחזור אל פרסי הספרות,abl nxzwr al prsi hsprwt
3673,שבהם יצר לב האדממתגלה במלאות מיוחדת,ebhm icr lb hadmmtglh bmlawt miwxdt
3674,הזוכים ומצד המשקיפים כאחד,hzwkim wmcd hmeqipim kaxd
3675,הסופרים עשויים להיות מנוסים ומחוכמים,hswprim yewiim lhiwt mnwsim wmxwkmim
3676,באנושיותם דווקא לנוכח הפרס הגדול,banweiwtm dwwqa lnwkx hprs hgdwl
3677,הנה מעשה במועמד הטבעי במשך שנים,hnh myeh bmwymd hvbyi bmek enim
3678,לפרס השוודי,lprs hewwdi
3679,בורחס הארגנטינאי,bwrxs hargnvinai
3680,שאף דיבר על,eap dibr yl
3681,המסורת,hmswrt
3682,עתיקת,ytiqt
3683,היומין שלא להעניק לי את הפרס,hiwmin ela lhyniq li at hprs
3684,כל אוהדיה ובקיאיה של הספרות הלטינו,kl awhdih wbqiaih el hsprwt hlvinw
3685,אמריקאית,amriqait
3686,או העולמית,aw hywlmit
3687,ולא היה סופר,wla hih swpr
3688,עולמי,ywlmi
3689,יותר מבורחס,iwtr mbwrxs
3690,שהוא יקבל את הפרס הזה,ehwa iqbl at hprs hzh
3691,וכאשר כבר היה זה מעליב ממש הדברים הגיעו,wkaer kbr hih zh mylib mme hdbrim hgiyw
3692,כך שהענקת הפרס לסופר הישיש היתה עשויה להתפרש כעלבון נשאל בורחס על,kk ehynqt hprs lswpr hieie hith yewih lhtpre kylbwn neal bwrxs yl
3693,איש ספרות מקסיקאי אחד האם היה רוצה בו אילו ניתן לו לבסוף,aie sprwt mqsiqai axd ham hih rwch bw ailw nitn lw lbswp
3694,שאלה טובה,ealh vwbh
3695,השיב בורחס,heib bwrxs
3696,הייתי מת,hiiti mt
3697,לבסוף מת הזקן הגדול ותאוותו,lbswp mt hzqn hgdwl wtawwtw
3698,בידו,bidw
3699,אגב,agb
3700,סיפור מקסים בעניין זה מצאתי בעיתון המדרידי בגיליון,sipwr mqsim byniin zh mcati byitwn hmdridi bgiliwn
3701,לכבוד פאס,lkbwd pas
3702,שהופיע למחרת היום שבו נודע על הענקת הפרס,ehwpiy lmxrt hiwm ebw nwdy yl hynqt hprs
3703,זו ראיה עד,zw raih yd
3704,היה העולם הספרותי ההיספאני מוכן לו,hih hywlm hsprwti hhispani mwkn lw
3705,שם מספר מכר אחד שלו על כך,em mspr mkr axd elw yl kk
3706,כמה שנים הודיעו לו בטעות שאוקטביו זכה בפרס,kmh enim hwdiyw lw bvywt eawqvbiw zkh bprs
3707,מיד טילפנתי אליו וברכתיו,mid vilpnti aliw wbrktiw
3708,אך הוא העמידני על טעותי ואף הוסיף,ak hwa hymidni yl vywti wap hwsip
3709,איזה כבוד הוא לזכות בפרס שלא,aizh kbwd hwa lzkwt bprs ela
3710,בו בורחס,bw bwrxs
3711,כך או כך,kk aw kk
3712,שמו של בורחס יצטרף מעתה לרשימה הארוכה של,emw el bwrxs icvrp myth lreimh harwkh el
3713,שהפרס נמנע מהם,ehprs nmny mhm
3714,מי יכחיש שרשימה זו מכובדת יותר לראיה נכללים בה פרוסט,mi ikxie ereimh zw mkwbdt iwtr lraih nkllim bh prwsv
3715,גויס ורילקה מזו הכוללת סופרים כפרל ס,gwis wrilqh mzw hkwllt swprim kprl s
3716,בק וגראציה דאלדה,bq wgracih daldh
3717,שלא,ela
3718,סופרים סקנדינווים עלומים שאולי זכו בדין,swprim sqndinwwim ylwmim eawli zkw bdin
3719,ואולי רק משום שהיתה להם פרוטקציה,wawli rq mewm ehith lhm prwvqcih
3720,בבחינת עניי עירך קודמים,bbxint ynii yirk qwdmim
3721,אך מצד שני נכשלתי גם אני בשימוש במלים,ak mcd eni nkelti gm ani beimwe bmlim
3722,הללו,hllw
3723,הגדולים ביותר,hgdwlim biwtr
3724,האמת היא שאין,hamt hia eain
3725,גדולים ביותר,gdwlim biwtr
3726,אלא מי,ala mi
3727,גדולים בשביל הקורא המסוים,gdwlim bebil hqwra hmswim
3728,האנטי,hanvi
3729,קולקטיווי,qwlqviwwi
3730,למעשה,lmyeh
3731,כל הסולם,kl hswlm
3732,של גדולה הוא מלאכותי,el gdwlh hwa mlakwti
3733,מטעה,mvyh
3734,ופוגע בלבה של הספרות,wpwgy blbh el hsprwt
3735,במשהו אישי,bmehw aiei
3736,המיוחד לבשורתה,hmiwxd lbewrth
3737,אבין את הקורא שיאמר שסופר הזוכה בפרס נובל איננו,abin at hqwra eiamr eswpr hzwkh bprs nwbl ainnw
3738,להיות גדול באמת,lhiwt gdwl bamt
3739,אף שתהיה באמירה שרירותיות גדולה כמעט כמו באמירה ההפוכה,ap ethih bamirh erirwtiwt gdwlh kmyv kmw bamirh hhpwkh
3740,המקובלת יותר,hmqwblt iwtr
3741,ומצד שני אי,wmcd eni ai
3742,אפשר בלא הפרסים בכלל,aper bla hprsim bkll
3743,וללא פרס נובל בפרט,wlla prs nwbl bprv
3744,שיוקרתו מחזיקה מעמד גם לאחר כל מיני הפרל ס,eiwqrtw mxziqh mymd gm laxr kl mini hprl s
3745,בק ודומיהן,bq wdwmihn
3746,מוכרחים היררכיה,mwkrxim hirrkih
3747,צמאים לה,cmaim lh
3748,אפילו כאשר טוענים נגד פסיקותיה ומתמרמרים על הבליה,apilw kaer vwynim ngd psiqwtih wmtmrmrim yl hblih
3749,כבר נאלצים לפסוק,kbr nalcim lpswq
3750,אז למה לא חבורה של שוודים זקנים,az lmh la xbwrh el ewwdim zqnim
3751,הרי יש משהו נכון,hri ie mehw nkwn
3752,לא,la
3753,טריטוריאלי,vrivwriali
3754,בהקשבה לפסק,bhqebh lpsq
3755,דינם של אנשים אלה דווקא בשל,dinm el aneim alh dwwqa bel
3756,הגמורה שבדבר,hgmwrh ebdbr
3757,יש,ie
3758,כמובן,kmwbn
3759,כאלה המוצאים טעמים אחרים לקיומם של,kalh hmwcaim vymim axrim lqiwmm el
3760,הספרותיים,hsprwtiim
3761,מכר אחד שלי,mkr axd eli
3762,שמקצועו אינו משאיר לו זמן לקריאת ספרים,emqcwyw ainw meair lw zmn lqriat sprim
3763,הוא מרצה באוניברסיטה אנגלית מסוימת לספרות אקזוטית מסוימת,hwa mrch bawnibrsivh anglit mswimt lsprwt aqzwvit mswimt
3764,ולא אומר,wla awmr
3765,כדי לא להוציאו מאלמוניותו,kdi la lhwciaw malmwniwtw
3766,נעזר בהחלטות שופטי פרס,nyzr bhxlvwt ewpvi prs
3767,בוקר,bwqr
3768,הבריטי היוקרתי ביותר,hbrivi hiwqrti biwtr
3769,כדי לבחור את הרומאן היחיד שיקרא במשך השנה,kdi lbxwr at hrwman hixid eiqra bmek henh
3770,בחרו בזבל,bxrw bzbl
3771,הוא אומר לי מדי שנה,hwa awmr li mdi enh
3772,אז למה קראת,az lmh qrat
3773,אני שואל,ani ewal
3774,ואם היו בוחרים במשהו אחר זה היה יותר טוב,wam hiw bwxrim bmehw axr zh hih iwtr vwb
3775,עונה ידידי הספקן,ywnh ididi hspqn
3776,בשיחה המתחדשת מדי שנה,beixh hmtxdet mdi enh
3777,זו איזו וריאציה על הטענה שאם לא שקספיר חיבר,zw aizw wriacih yl hvynh eam la eqspir xibr
3778,מחזות שקספיר אולי חיבר אותם מישהו אחר ששמו היה כזה,mxzwt eqspir awli xibr awtm miehw axr eemw hih kzh
3779,כך או אחרת,kk aw axrt
3780,השוודים ודאי לא היתה מעניקה את הפרס לשקספיר ואולי דווקא כן,hewwdim wdai la hith myniqh at hprs leqspir wawli dwwqa kn
3781,הרי,hri
3782,הכל המלט היה סקנדינווי,hkl hmlv hih sqndinwwi
3783,רס בבית קפה פינתי ברחוב אלנבי,rs bbit qph pinti brxwb alnbi
3784,לא הרחק מהספרייה הפולנית,la hrxq mhspriih hpwlnit
3785,בפתח,bptx
3786,הצטופפו פולנים,hcvwppw pwlnim
3787,שכתוצאה ממצוקות הקיום היום,ektwcah mmcwqwt hqiwm hiwm
3788,יומי נאלצו להרחיק לכת,iwmi nalcw lhrxiq lkt
3789,בחיפוש אחר עבודה,bxipwe axr ybwdh
3790,היו שם סטודנט לאמנות מוורשה השוטף מכוניות בתל,hiw em svwdnv lamnwt mwwreh hewvp mkwniwt btl
3791,אביב,abib
3792,ומהנדסת בניין מלובלין העובדת כעוזרת בית בפרבר אמיד,wmhndst bniin mlwblin hywbdt kywzrt bit bprbr amid
3793,שניים מבין,eniim mbin
3794,הפולנים השוהים כיום בישראל,hpwlnim hewhim kiwm bieral
3795,ביום חופשתם השבועי הם מגיעים לספרייה,biwm xwpetm hebwyi hm mgiyim lspriih
3796,כדי להציץ בעיתון,kdi lhcic byitwn
3797,המזכיר את הבית,hmzkir at hbit
3798,בדיוק כמו שעשה מארק חלאסק,bdiwq kmw eyeh marq xlasq
3799,נזכר יורק פרס בידידו מלפני שלושים שנים,nzkr iwrq prs bididw mlpni elweim enim
3800,חלאסקו,xlasqw
3801,שחי בישראל כשלוש שנים,exi bieral kelwe enim
3802,ומאז מותו לפני  שנים נשכח בישראל ובמולדתו,wmaz mwtw lpni  enim nekx bieral wbmwldtw
3803,זוכה בימים אלה לעדנה מחודשת,zwkh bimim alh lydnh mxwdet
3804,לפחות שתי עבודות דוקטורט נכתבו עליו לאחרונה בפולין,lpxwt eti ybwdwt dwqvwrv nktbw yliw laxrwnh bpwlin
3805,ובארצות הברית,wbarcwt hbrit
3806,עתה לאור אחד מספריו,yth lawr axd mspriw
3807,להרוג את הכלב השני,lhrwg at hklb heni
3808,הביקורת,hbiqwrt
3809,טיימס בוק רוויו,viims bwq rwwiw
3810,היתה אוהדת,hith awhdt
3811,הסיפור,hsipwr
3812,כמו שלושה אחרים,kmw elweh axrim
3813,ביום מותו,biwm mwtw
3814,מומר ביפו,mwmr bipw
3815,לכם על אסתר,lkm yl astr
3816,מבוססים על חוויותיו של,mbwssim yl xwwiwtiw el
3817,בישראל,bieral
3818,הסיפורים מצליחים להעביר לקורא את הניחוח המיוחד,hsipwrim mclixim lhybir lqwra at hnixwx hmiwxd
3819,את דופק החיים של ישראל,at dwpq hxiim el ieral
3820,ובמיוחד את תל,wbmiwxd at tl
3821,אביב של ראשית שנות הששים,abib el raeit enwt heeim
3822,מה שעושים תום וולף לניו,mh eyweim twm wwlp lniw
3823,יורק ומרטין אמיס ללונדון של זמננו,iwrq wmrvin amis llwndwn el zmnnw
3824,הצליח,hclix
3825,לעיר הגדולה בישראל דווקא יוצר פולני,lyir hgdwlh bieral dwwqa iwcr pwlni
3826,מוכשר כמו שד,mwker kmw ed
3827,שהתוודע לכרך התל,ehtwwdy lkrk htl
3828,אביבי של אז,abibi el az
3829,בכמה מיצירותיו של חלאסקו יש יסודות הרוויים באותה,bkmh micirwtiw el xlasqw ie iswdwt hrwwiim bawth
3830,חמקמקה שקשה להגדירה ובכל זאת ניתן לזהותה,xmqmqh eqeh lhgdirh wbkl zat nitn lzhwth
3831,תחושת התל,txwet htl
3832,אביביות,abibiwt
3833,תל,tl
3834,אביב של בתי המלון הזולים באלנבי,abib el bti hmlwn hzwlim balnbi
3835,של חוף הים והדרך בואכה יפו,el xwp him whdrk bwakh ipw
3836,של,el
3837,באוטובוסים,bawvwbwsim
3838,של הקיץ הלח והזעה,el hqic hlx whzyh
3839,של עלובי החיים של הלילה והפושעים,el ylwbi hxiim el hlilh whpweyim
3840,בשולי החברה,bewli hxbrh
3841,כל אלה מופיעים במיוחד,kl alh mwpiyim bmiwxd
3842,את הכלב השני,at hklb heni
3843,סיפור,sipwr
3844,על שני מהגרים פולנים החיים בישראל בראשית שנות השישים,yl eni mhgrim pwlnim hxiim bieral braeit enwt heieim
3845,האחד שואף,haxd ewap
3846,סופר ושחקן,swpr wexqn
3847,והשני במאי כושל בתיאטרון,wheni bmai kwel btiavrwn
3848,מומחה לשקספיר,mwmxh leqspir
3849,השניים,heniim
3850,מסוגלים או אינם רוצים לעסוק במלאכות רגילות,mswglim aw ainm rwcim lyswq bmlakwt rgilwt
3851,מוצאים את פרנסתם,mwcaim at prnstm
3852,אחר תיירות אמריקאיות עשירות בחופי הים של תל,axr tiirwt amriqaiwt yeirwt bxwpi him el tl
3853,אביב וחיפה ובחוף,abib wxiph wbxwp
3854,בטבריה,bvbrih
3855,הבמאי המתוסכל מביים את העלילה,hbmai hmtwskl mbiim at hylilh
3856,וחברו השחקן משחק אותה,wxbrw hexqn mexq awth
3857,ביצוע המזימה הם נזקקים לכלב,bicwy hmzimh hm nzqqim lklb
3858,להרוג את הכלב השני,lhrwg at hklb heni
3859,או בתרגום,aw btrgwm
3860,הפולני,hpwlni
3861,להרוג את הכלב בשנית,lhrwg at hklb benit
3862,כתוב בשילוב מיוחד של סגנונות,ktwb beilwb miwxd el sgnwnwt
3863,לעתים הוא נקרא כסיפור אקזיסטנציאליסטי,lytim hwa nqra ksipwr aqzisvncialisvi
3864,על אף שהלשון היא של ספר בלשים,yl ap ehlewn hia el spr bleim
3865,לעתים יש בסיפור דוק של אירוניה,lytim ie bsipwr dwq el airwnih
3866,המספר,hmspr
3867,נרדף על,nrdp yl
3868,ידי זיכרונות,idi zikrwnwt
3869,ממלחמת העולם השנייה ומהתבגרותו במשטר קומוניסטי,mmlxmt hywlm heniih wmhtbgrwtw bmevr qwmwnisvi
3870,מוצג כאדם חסר,mwcg kadm xsr
3871,החש עצמו מנותק מהחברה האנושית הרגילה,hxe ycmw mnwtq mhxbrh hanweit hrgilh
3872,שבין כך ובין כך,ebin kk wbin kk
3873,אין לה,ain lh
3874,לאף אחד,lap axd
3875,זו כנראה הסיבה שגם כאשר הוא מתאהב בתיירת קורבן מזימתו,zw knrah hsibh egm kaer hwa mtahb btiirt qwrbn mzimtw
3876,אינו יכול להניח לרגשותיו לסחוף אותו,ainw ikwl lhnix lrgewtiw lsxwp awtw
3877,ומעדיף לחזור למעשה ההונאה,wmydip lxzwr lmyeh hhwnah
3878,בכל יצירותיו של מארק חלאסקו,bkl icirwtiw el marq xlasqw
3879,גם בסיפור הזה שזורים לכל האורך יסודות,gm bsipwr hzh ezwrim lkl hawrk iswdwt
3880,עזים,yzim
3881,הוא נולד ב בוורשה,hwa nwld b bwwreh
3882,עיר נעורי,yir nywri
3883,שתמיד,etmid
3884,ללא חיוך,lla xiwk
3885,ייזכר לימים במרירות במכתב ששלח לאחד ממבקריו,iizkr limim bmrirwt bmktb eelx laxd mmbqriw
3886,ואשר,waer
3887,תוהים שיכורים ועלובי החיים,twhim eikwrim wylwbi hxiim
3888,מגיל צעיר הוא נאלץ לעבוד בעבודות,mgil cyir hwa nalc lybwd bybwdwt
3889,ולהזניח את לימודיו,wlhznix at limwdiw
3890,בגיל  עזב רשמית את בית הספר והחל להתפרנס,bgil  yzb remit at bit hspr whxl lhtprns
3891,מונית,mwnit
3892,חוטב עצים,xwvb ycim
3893,משיט רפסודה בנהר ונהג משאית,meiv rpswdh bnhr wnhg meait
3894,באופן בלתי,bawpn blti
3895,התוודע לאלימות,htwwdy lalimwt
3896,לקו התפר של החיים ולשולי החברה,lqw htpr el hxiim wlewli hxbrh
3897,כל אלה עתידים,kl alh ytidim
3898,מקורות השראה שיעצבו אותו כסופר ויופיעו ביצירותיו,mqwrwt herah eiycbw awtw kswpr wiwpiyw bicirwtiw
3899,עם זאת,ym zat
3900,חלאסקו,xlasqw
3901,להשכיל ולקרוא רבות,lhekil wlqrwa rbwt
3902,ובכתיבתו המוקדמת אפשר לגלות עקבות של השפעות,wbktibtw hmwqdmt aper lglwt yqbwt el hepywt
3903,מגוונות,mgwwnwt
3904,בגיל עשרים פרץ מארק חלאסקו לזירה הספרותית של פולין,bgil yerim prc marq xlasqw lzirh hsprwtit el pwlin
3905,פרק מנובלה שכתב קודם לכן,prq mnwblh ektb qwdm lkn
3906,הוא הפך לסנסציה המדוברת ביותר בפולין הספרותית,hwa hpk lsnscih hmdwbrt biwtr bpwlin hsprwtit
3907,והתמנה לעורך של,whtmnh lywrk el
3908,ף,p
3909,פרסט,prsv
3910,בפשטות או ישר לעניין,bpevwt aw ier lyniin
3911,שבועון,ebwywn
3912,שהיה בהנהגתו לעיתון רב,ehih bhnhgtw lyitwn rb
3913,השפעה,hepyh
3914,מארק חלאסקו התגלה גם כיוצר מגוון,marq xlasqw htglh gm kiwcr mgwwn
3915,שמשך את עטו לא רק בכתיבה ספרותית אלא גם בביקורות קולנוע וספרות,emek at yvw la rq bktibh sprwtit ala gm bbiqwrwt qwlnwy wsprwt
3916,סיפוריו הקצרים,sipwriw hqcrim
3917,צעד ראשון בעננים,cyd raewn bynnim
3918,והרומאן הראשון שלו,whrwman hraewn elw
3919,השמיני של השבוע,hemini el hebwy
3920,שראו אור ב6591,eraw awr b6591
3921,שנה רבת מתח ואירועים בפולין הפוסט,enh rbt mtx wairwyim bpwlin hpwsv
3922,סטליניסטית,svlinisvit
3923,נתנו ביטוי למרד הנעורים ולאכזבה המרה של הדור הצעיר,ntnw bivwi lmrd hnywrim wlakzbh hmrh el hdwr hcyir
3924,הקומוניסטית,hqwmwnisvit
3925,מבקרים פולנים ומערביים היו נדיבים ביותר בשבחים,mbqrim pwlnim wmyrbiim hiw ndibim biwtr bebxim
3926,על הכשרון החדש,yl hkerwn hxde
3927,וביכרו להתעלם מחולשות כתיבתו ומבוסריותו,wbikrw lhtylm mxwlewt ktibtw wmbwsriwtw
