id,hebrew,transliterated
5194,החברה,hxbrh
5195,קדישא,qdiea
5196,להעביר,lhybir
5197,את,at
5198,אל,al
5199,הישיבה,hieibh
5200,מחצי,mxci
5201,שעה,eyh
5202,הם,hm
5203,ניסו,nisw
5204,לעשות,lyewt
5205,זאת,zat
5206,ללא,lla
5207,הצלחה,hclxh
5208,בני,bni
5209,המשפחה,hmepxh
5210,הרבנים,hrbnim
5211,ראשי,raei
5212,כך,kk
5213,ואפילו,wapilw
5214,הרב,hrb
5215,לישראל,lieral
5216,הראשון,hraewn
5217,הרב,hrb
5218,אליהו,alihw
5219,בפני,bpni
5220,הקהל,hqhl
5221,לפנות,lpnwt
5222,מעט,myv
5223,דרך,drk
5224,לשווא,lewwa
5225,צרו,crw
5226,על,yl
5227,רכב,rkb
5228,החברה,hxbrh
5229,קדישא,qdiea
5230,תוך,twk
5231,שהם,ehm
5232,דוחפים,dwxpim
5233,את,at
5234,רעהו,ryhw
5235,ומשלחים,wmelxim
5236,קללות,qllwt
5237,לעבר,lybr
5238,אנשי,anei
5239,הרבים,hrbim
5240,השר,her
5241,יובל,iwbl
5242,נאמן,namn
5243,וסגניתו,wsgnitw
5244,כהן,khn
5245,שביקשו,ebiqew
5246,את,at
5247,כהנא,khna
5248,גורשו,gwrew
5249,מהמקום,mhmqwm
5250,בקהל,bqhl
5251,חבר,xbr
5252,הכנסת,hknst
5253,העצני,hycni
5254,יצחק,icxq
5255,פרץ,prc
5256,כהן,khn
5257,אבידוב,abidwb
5258,ודמויות,wdmwiwt
5259,נוספות,nwspwt
5260,מחוגי,mxwgi
5261,הימין,himin
5262,ב2115,b2115
5263,ניסה,nish
5264,רכב,rkb
5265,החברה,hxbrh
5266,קדישא,qdiea
5267,בעדינות,bydinwt
5268,את,at
5269,התוצאה,htwcah
5270,פצוע,pcwy
5271,שנדרס,endrs
5272,לקול,lqwl
5273,האמבולנס,hambwlns
5274,שמיהר,emihr
5275,לבית,lbit
5276,הרב,hrb
5277,הראשי,hraei
5278,את,at
5279,שורת,ewrt
5280,ההספדים,hhspdim
5281,הרב,hrb
5282,עמד,ymd
5283,על,yl
5284,תכונותיו,tkwnwtiw
5285,של,el
5286,כהנא,khna
5287,הצדקה,hcdqh
5288,שלו,elw
5289,וראיית,wraiit
5290,ואחר,waxr
5291,כך,kk
5292,פונה,pwnh
5293,יקום,iqwm
5294,לא,la
5295,להפריע,lhpriy
5296,לכוחות,lkwxwt
5297,הביטחון,hbivxwn
5298,להשאיר,lheair
5299,את,at
5300,הנקמה,hnqmh
5301,לאלוקים,lalwqim
5302,נחמן,nxmn
5303,כהנא,khna
5304,אחיו,axiw
5305,מאיר,mair
5306,כהנא,khna
5307,הזכיר,hzkir
5308,תוך,twk
5309,בכי,bki
5310,כי,ki
5311,דמו,dmw
5312,כהנא,khna
5313,רקע,rqy
5314,הר,hr
5315,הבית,hbit
5316,הזה,hzh
5317,רותח,rwtx
5318,הדם,hdm
5319,אין,ain
5320,כפרה,kprh
5321,בדבריו,bdbriw
5322,של,el
5323,הרב,hrb
5324,אברהם,abrhm
5325,טולדאנו,vwldanw
5326,משגיח,megix
5327,הרעיון,hryiwn
5328,היהודי,hihwdi
5329,ומספר,wmspr
5330,4,4
5331,לכנסת,lknst
5332,היו,hiw
5333,כבר,kbr
5334,הוראות,hwrawt
5335,מעשיות,myeiwt
5336,אלוקים,alwqim
5337,ייקום,iiqwm
5338,דמו,dmw
5339,ואנו,wanw
5340,אותו,awtw
5341,אל,al
5342,ה,h
5343,עכשיו,ykeiw
5344,עת,yt
5345,זו,zw
5346,העת,hyt
5347,רבותי,rbwti
5348,נצפה,ncph
5349,אך,ak
5350,יכול,ikwl
5351,להגיע,lhgiy
5352,לשלום,lelwm
5353,דרך,drk
5354,המלחמה,hmlxmh
5355,לטוב,lvwb
5356,ועת,wyt
5357,לרע,lry
5358,יכול,ikwl
5359,להגיע,lhgiy
5360,לטוב,lvwb
5361,אתה,ath
5362,לא,la
5363,את,at
5364,הרע,hry
5365,זה,zh
5366,הרגע,hrgy
5367,הזמן,hzmn
5368,לנקום,lnqwm
5369,כל,kl
5370,יהודי,ihwdi
5371,דבריו,dbriw
5372,של,el
5373,בן,bn
5374,יעקב,iyqb
5375,איש,aie
5376,כך,kk
5377,לרב,lrb
5378,כהנא,khna
5379,הם,hm
5380,המפורשים,hmpwreim
5381,והוא,whwa
5382,פנה,pnh
5383,אל,al
5384,רבו,rbw
5385,כאילו,kailw
5386,עוד,ywd
5387,היה,hih
5388,חי,xi
5389,הרב,hrb
5390,רצחו,rcxw
5391,אותך,awtk
5392,כאן,kan
5393,פסלו,pslw
5394,אותך,awtk
5395,רצחו,rcxw
5396,התקשורת,htqewrt
5397,ממשיכה,mmeikh
5398,לרצוח,lrcwx
5399,אותך,awtk
5400,פעם,pym
5401,שלישית,elieit
5402,נבכה,nbkh
5403,לבכות,lbkwt
5404,ונקיים,wnqiim
5405,את,at
5406,התורה,htwrh
5407,אותנו,awtnw
5408,נקמה,nqmh
5409,ניתן,nitn
5410,את,at
5411,רשות,rewt
5412,לחבר,lxbr
5413,תת,tt
5414,מקלע,mqly
5415,לחבר,lxbr
5416,סכין,skin
5417,שלום,elwm
5418,כהנא,khna
5419,אט,av
5420,אט,av
5421,התחיל,htxil
5422,ההמון,hhmwn
5423,לצעוד,lcywd
5424,אל,al
5425,מחוץ,mxwc
5426,לסמטאות,lsmvawt
5427,לעבר,lybr
5428,הכביש,hkbie
5429,בשקט,beqv
5430,קריאות,qriawt
5431,גוברות,gwbrwt
5432,מוות,mwwt
5433,לערבים,lyrbim
5434,רוצים,rwcim
5435,נקמה,nqmh
5436,הקהל,hqhl
5437,צמא,cma
5438,לדם,ldm
5439,פעם,pym
5440,בפעם,bpym
5441,פרצה,prch
5442,קבוצה,qbwch
5443,של,el
5444,כמה,kmh
5445,מאות,mawt
5446,הצידה,hcidh
5447,כאשר,kaer
5448,נדמה,ndmh
5449,היה,hih
5450,שגילתה,egilth
5451,ערבי,yrbi
5452,אבל,abl
5453,האכזבה,hakzbh
5454,רבה,rbh
5455,בעלי,byli
5456,מפעלים,mpylim
5457,רבים,rbim
5458,על,yl
5459,נתיב,ntib
5460,ההלווייה,hhlwwiih
5461,את,at
5462,פועליהם,pwylihm
5463,סוגר,swgr
5464,ובריח,wbrix
5465,מהם,mhm
5466,עשו,yew
5467,שטות,evwt
5468,והציצו,whcicw
5469,מבעד,mbyd
5470,לחלונות,lxlwnwt
5471,דקות,dqwt
5472,מאחור,maxwr
5473,צרו,crw
5474,מאות,mawt
5475,על,yl
5476,הטלוויזיה,hvlwwizih
5477,פרשי,prei
5478,משטרה,mevrh
5479,דחקו,dxqw
5480,אותם,awtm
5481,שוטר,ewvr
5482,נפגע,npgy
5483,מאבן,mabn
5484,בראשו,braew
5485,קבוצה,qbwch
5486,אחרת,axrt
5487,של,el
5488,פרצה,prch
5489,למרכז,lmrkz
5490,המסחרי,hmsxri
5491,ליד,lid
5492,התחנה,htxnh
5493,המרכזית,hmrkzit
5494,בתי,bti
5495,הקפה,hqph
5496,נבעתו,nbytw
5497,עם,ym
5498,תינוקתה,tinwqth
5499,פרצה,prch
5500,מיד,mid
5501,אחר,axr
5502,כך,kk
5503,נופצו,nwpcw
5504,ראווה,rawwh
5505,של,el
5506,חנויות,xnwiwt
5507,במרכז,bmrkz
5508,השוטרים,hewvrim
5509,הגיעו,hgiyw
5510,רק,rq
5511,דקות,dqwt
5512,מול,mwl
5513,בית,bit
5514,מספר,mspr
5515,3,3
5516,ברחוב,brxwb
5517,גבעת,gbyt
5518,שאול,eawl
5519,אני,ani
5520,עד,yd
5521,לאירוע,lairwy
5522,ביותר,biwtr
5523,הקהל,hqhl
5524,איתר,aitr
5525,סוף,swp
5526,ויהודים,wihwdim
5527,חבטו,xbvw
5528,בו,bw
5529,עד,yd
5530,זוב,zwb
5531,דם,dm
5532,אנשי,anei
5533,חשו,xew
5534,הפצוע,hpcwy
5535,והגישו,whgiew
5536,לו,lw
5537,עזרה,yzrh
5538,ראשונה,raewnh
5539,האמבולנס,hambwlns
5540,אך,ak
5541,בקושי,bqwei
5542,וגם,wgm
5543,כאשר,kaer
5544,הדלתות,hdltwt
5545,היכו,hikw
5546,עשרות,yerwt
5547,בידיים,bidiim
5548,על,yl
5549,פח,px
5550,הרכב,hrkb
5551,שוטר,ewvr
5552,וחייל,wxiil
5553,אחזו,axzw
5554,האמבולנס,hambwlns
5555,אל,al
5556,המתפרעים,hmtpryim
5557,כדי,kdi
5558,לסוכך,lswkk
5559,הפצוע,hpcwy
5560,הערבי,hyrbi
5561,לנסוע,lnswy
5562,איבד,aibd
5563,השוטר,hewvr
5564,שיווי,eiwwi
5565,המשקל,hmeql
5566,מעד,myd
5567,ונחת,wnxt
5568,לקרקע,lqrqy
5569,הוא,hwa
5570,איבד,aibd
5571,את,at
5572,הכרתו,hkrtw
5573,הפעם,hpym
5574,הקהל,hqhl
5575,לא,la
5576,חסם,xsm
5577,את,at
5578,האמבולנס,hambwlns
5579,ברחבה,brxbh
5580,שלפני,elpni
5581,בית,bit
5582,הר,hr
5583,המנוחות,hmnwxwt
5584,באבנים,babnim
5585,של,el
5586,קול,qwl
5587,טירן,virn
5588,פולק,pwlq
5589,מנך,mnk
5590,ל,l
5591,כך,kk
5592,בידו,bidw
5593,רמקול,rmqwl
5594,וביקש,wbiqe
5595,שלא,ela
5596,לפגוע,lpgwy
5597,ביהודים,bihwdim
5598,מהקהל,mhqhl
5599,נשמעו,nemyw
5600,קריאות,qriawt
5601,ההלווייה,hhlwwiih
5602,נלך,nlk
5603,את,at
5604,הר,hr
5605,הבית,hbit
5606,כולנו,kwlnw
5607,כאיש,kaie
5608,אחד,axd
5609,מוות,mwwt
5610,לערבים,lyrbim
5611,מוות,mwwt
5612,לשמאלנים,lemalnim
5613,מוות,mwwt
5614,ליוסי,liwsi
5615,שריד,erid
5616,קשה,qeh
5617,להוציא,lhwcia
5618,את,at
5619,ממכונית,mmkwnit
5620,קדישא,qdiea
5621,תוך,twk
5622,דחיפות,dxipwt
5623,וצעקות,wcyqwt
5624,הורדה,hwrdh
5625,גופתו,gwptw
5626,של,el
5627,מאיר,mair
5628,כהנא,khna
5629,אל,al
5630,הקבר,hqbr
5631,את,at
5632,הקדיש,hqdie
5633,עונה,ywnh
5634,אמן,amn
5635,מסע,msy
5636,ההלווייה,hhlwwiih
5637,מסע,msy
5638,הנקמה,hnqmh
5639,תהיה,thih
5640,נקמה,nqmh
5641,גם,gm
5642,יהודים,ihwdim
5643,נמצאים,nmcaim
5644,עתה,yth
5645,על,yl
5646,אמרו,amrw
5647,אנשי,anei
5648,מסע,msy
5649,ההלווייה,hhlwwiih
5650,איש,aie
5651,ניסה,nish
5652,להסתיר,lhstir
5653,זאת,zat
5654,לא,la
5655,שהסיתו,ehsitw
5656,לרצח,lrcx
5657,לא,la
5658,חלקים,xlqim
5659,בציבור,bcibwr
5660,הזה,hzh
5661,שלאורך,elawrk
5662,ציר,cir
5663,ההלווייה,hhlwwiih
5664,תוכניות,twkniwt
5665,כיצד,kicd
5666,לפגוע,lpgwy
5667,כבר,kbr
5668,בימים,bimim
5669,הקרובים,hqrwbim
5670,סופר,swpr
5671,הארץ,harc
5672,בצפון,bcpwn
5673,מוסיף,mwsip
5674,יריות,iriwt
5675,נשמעו,nemyw
5676,בשעה,beyh
5677,2000,2000
5678,בשפרעם,beprym
5679,סמוך,smwk
5680,לביתו,lbitw
5681,של,el
5682,העירייה,hyiriih
5683,איברהים,aibrhim
5684,איש,aie
5685,לא,la
5686,נפגע,npgy
5687,כוחות,kwxwt
5688,משטרה,mevrh
5689,גדולים,gdwlim
5690,בראשות,braewt
5691,מפקד,mpqd
5692,מרחב,mrxb
5693,תת,tt
5694,רמי,rmi
5695,רהב,rhb
5696,פתחו,ptxw
5697,בחקירה,bxqirh
5698,נרחבות,nrxbwt
5699,בעיר,byir
5700,שתושבים,etwebim
5701,סיפרו,siprw
5702,כי,ki
5703,הבחינו,hbxinw
5704,במכונית,bmkwnit
5705,אדומה,adwmh
5706,מסוג,mswg
5707,נושאת,nweat
5708,זיהוי,zihwi
5709,ישראליות,ieraliwt
5710,שנראתה,enrath
5711,נמלטת,nmlvt
5712,מהמקום,mhmqwm
5713,נימר,nimr
5714,חוסיין,xwsiin
5715,גם,gm
5716,כראש,krae
5717,ועד,wyd
5718,ראשי,raei
5719,הרשויות,hrewiwt
5720,הערביות,hyrbiwt
5721,אמר,amr
5722,כי,ki
5723,היריות,hiriwt
5724,נורו,nwrw
5725,לעבר,lybr
5726,וכי,wki
5727,לאחר,laxr
5728,רצח,rcx
5729,מאיר,mair
5730,כהנא,khna
5731,הזהירה,hzhirh
5732,אותו,awtw
5733,המשטרה,hmevrh
5734,כי,ki
5735,קיים,qiim
5736,חשש,xee
5737,שקיצונים,eqicwnim
5738,לפגוע,lpgwy
5739,בבעלי,bbyli
5740,תפקידים,tpqidim
5741,בכירים,bkirim
5742,הערבי,hyrbi
5743,המשטרה,hmevrh
5744,הזהירה,hzhirh
5745,אתמול,atmwl
5746,חברי,xbri
5747,ערבים,yrbim
5748,ובעלי,wbyli
5749,תפקידים,tpqidim
5750,במגזר,bmgzr
5751,הערבי,hyrbi
5752,המתגוררים,hmtgwrrim
5753,בצפון,bcpwn
5754,הארץ,harc
5755,קיים,qiim
5756,חשש,xee
5757,לניסיונות,lnisiwnwt
5758,פגיעה,pgiyh
5759,בהם,bhm
5760,התבקשו,htbqew
5761,לדווח,ldwwx
5762,למשטרה,lmevrh
5763,על,yl
5764,תנועותיהם,tnwywtihm
5765,נהרג,nhrg
5766,נרצח,nrcx
5767,בידי,bidi
5768,רעולי,rywli
5769,פנים,pnim
5770,ואחר,waxr
5771,נדקר,ndqr
5772,על,yl
5773,ידם,idm
5774,נפצעו,npcyw
5775,לפי,lpi
5776,מקורות,mqwrwt
5777,פלשתיניים,pletiniim
5778,וכן,wkn
5779,נפצעו,npcyw
5780,שישה,eieh
5781,חיילי,xiili
5782,ותיירת,wtiirt
5783,אחת,axt
5784,השבוע,hebwy
5785,בשטחים,bevxim
5786,חמישה,xmieh
5787,חיילי,xiili
5788,נפצעו,npcyw
5789,קל,ql
5790,בתקריות,btqriwt
5791,שהיו,ehiw
5792,השבוע,hebwy
5793,ברצועת,brcwyt
5794,הם,hm
5795,הועברו,hwybrw
5796,לבית,lbit
5797,החולים,hxwlim
5798,ברזילי,brzili
5799,בתקריות,btqriwt
5800,שהיו,ehiw
5801,ברצועה,brcwyh
5802,ושלשום,welewm
5803,נהרג,nhrg
5804,עיזאת,yizat
5805,אל,al
5806,בסיוני,bsiwni
5807,בן,bn
5808,92,92
5809,תושב,tweb
5810,חנון,xnwn
5811,שניים,eniim
5812,נפצעו,npcyw
5813,באורח,bawrx
5814,ו261,w261
5815,נפצעו,npcyw
5816,לפי,lpi
5817,מקורות,mqwrwt
5818,פלשתיניים,pletiniim
5819,מהם,mhm
5820,מירי,miri
5821,חיים,xiim
5822,כדורי,kdwri
5823,ופלסטיק,wplsviq
5824,השאר,hear
5825,מגז,mgz
5826,בהם,bhm
5827,רבים,rbim
5828,בגיל,bgil
5829,01,01
5830,וארבע,warby
5831,נשים,neim
5832,נציג,ncig
5833,דובר,dwbr
5834,בפיקוד,bpiqwd
5835,דרום,drwm
5836,לפרט,lprv
5837,באילו,bailw
5838,כדורים,kdwrim
5839,נפצעו,npcyw
5840,התושבים,htwebim
5841,מקורות,mqwrwt
5842,בפיקוד,bpiqwd
5843,דרום,drwm
5844,אמרו,amrw
5845,כי,ki
5846,תושבים,twebim
5847,נפצעו,npcyw
5848,ו05,w05
5849,שוחררו,ewxrrw
5850,לבתיהם,lbtihm
5851,העוצר,hywcr
5852,אתמול,atmwl
5853,בעיירה,byiirh
5854,בית,bit
5855,חנון,xnwn
5856,מרכזיים,mrkziim
5857,ברצועה,brcwyh
5858,יימשך,iimek
5859,היום,hiwm
5860,גורם,gwrm
5861,צבאי,cbai
5862,בכיר,bkir
5863,כי,ki
5864,הצבא,hcba
5865,הופתע,hwpty
5866,הספונטאנית,hspwnvanit
5867,ההתנגשויות,hhtngewiwt
5868,החלו,hxlw
5869,מיד,mid
5870,לאחר,laxr
5871,שנודע,enwdy
5872,דבר,dbr
5873,התאבדותו,htabdwtw
5874,של,el
5875,שהיה,ehih
5876,עצור,ycwr
5877,באגף,bagp
5878,בכלא,bkla
5879,עזה,yzh
5880,כרוז,krwz
5881,שהופץ,ehwpc
5882,קרא,qra
5883,בשטחים,bevxim
5884,מקורות,mqwrwt
5885,פלשתיניים,pletiniim
5886,דיווחו,diwwxw
5887,שהתקריות,ehtqriwt
5888,החלו,hxlw
5889,בכמה,bkmh
5890,מחנות,mxnwt
5891,ביום,biwm
5892,ששי,eei
5893,מאות,mawt
5894,תושבים,twebim
5895,תקפו,tqpw
5896,את,at
5897,משטרת,mevrt
5898,עזה,yzh
5899,באבנים,babnim
5900,ובמוטות,wbmwvwt
5901,וניפצו,wnipcw
5902,ופנסים,wpnsim
5903,בכלי,bkli
5904,הם,hm
5905,פצעו,pcyw
5906,את,at
5907,סגן,sgn
5908,מפקד,mpqd
5909,נפת,npt
5910,עזה,yzh
5911,מקורות,mqwrwt
5912,כי,ki
5913,עיקר,yiqr
5914,המהומות,hmhwmwt
5915,היו,hiw
5916,באזור,bazwr
5917,בית,bit
5918,חנון,xnwn
5919,ששם,eem
5920,נפצעו,npcyw
5921,34,34
5922,תושבים,twebim
5923,מהם,mhm
5924,חמישה,xmieh
5925,קשה,qeh
5926,בין,bin
5927,הפצועים,hpcwyim
5928,עוד,ywd
5929,נמסר,nmsr
5930,המהומות,hmhwmwt
5931,התפשטו,htpevw
5932,הצפוניות,hcpwniwt
5933,ברצועת,brcwyt
5934,וכן,wkn
5935,למחנות,lmxnwt
5936,הפליטים,hplivim
5937,גיבאליה,gibalih
5938,חאן,xan
5939,יונס,iwns
5940,רדואן,rdwan
5941,והעיר,whyir
5942,עזה,yzh
5943,אתמול,atmwl
5944,הושלכו,hwelkw
5945,ששה,eeh
5946,בקבוקי,bqbwqi
5947,על,yl
5948,סיורים,siwrim
5949,של,el
5950,ברפיח,brpix
5951,הבקבוקים,hbqbwqim
5952,אך,ak
5953,לא,la
5954,היו,hiw
5955,המקורות,hmqwrwt
5956,על,yl
5957,רצח,rcx
5958,על,yl
5959,חשד,xed
5960,לשיתוף,leitwp
5961,פעולה,pywlh
5962,מחמוד,mxmwd
5963,גומעה,gwmyh
5964,סמרי,smri
5965,שנחשד,enxed
5966,בשיתוף,beitwp
5967,עם,ym
5968,השלטונות,helvwnwt
5969,בדקירות,bdqirwt
5970,סכין,skin
5971,וגופתו,wgwptw
5972,נשרפה,nerph
5973,הפליטים,hplivim
5974,דקרו,dqrw
5975,אלמונים,almwnim
5976,את,at
5977,אל,al
5978,חלד,xld
5979,זיין,ziin
5980,בן,bn
5981,22,22
5982,הוא,hwa
5983,נפצע,npcy
5984,קשה,qeh
5985,והועבר,whwybr
5986,לבית,lbit
5987,שיפא,eipa
5988,אמש,ame
5989,דוווח,dwwwx
5990,מפי,mpi
5991,מקורות,mqwrwt
5992,פלשתיניים,pletiniim
5993,על,yl
5994,תושב,tweb
5995,דיר,dir
5996,אל,al
5997,51,51
5998,באורח,bawrx
5999,והועבר,whwybr
6000,תל,tl
6001,השומר,hewmr
6002,הסוהר,hswhr
6003,חוקרים,xwqrim
6004,את,at
6005,נסיבות,nsibwt
6006,מותו,mwtw
6007,של,el
6008,עטיה,yvih
6009,עבדלל,ybdll
6010,עטי,yvi
6011,מחמוד,mxmwd
6012,זענין,zynin
6013,63,63
6014,חקלאי,xqlai
6015,מבית,mbit
6016,נשוי,newi
6017,ואב,wab
6018,לשבעה,lebyh
6019,שנמצא,enmca
6020,תלוי,tlwi
6021,שבכלא,ebkla
6022,מקורות,mqwrwt
6023,צבאיים,cbaiim
6024,מסרו,msrw
6025,כי,ki
6026,עטיה,yvih
6027,השתמש,hetme
6028,בקרעים,bqryim
6029,של,el
6030,צבאי,cbai
6031,אשר,aer
6032,הגיע,hgiy
6033,למקום,lmqwm
6034,קבע,qby
6035,את,at
6036,בשטחים,bevxim
6037,התקיימה,htqiimh
6038,ביום,biwm
6039,ששי,eei
6040,שביתה,ebith
6041,השנה,henh
6042,להצהרת,lhchrt
6043,בלפור,blpwr
6044,אתמול,atmwl
6045,הסיר,hsir
6046,את,at
6047,העוצר,hywcr
6048,שטחי,evxi
6049,הגדה,hgdh
6050,המערבית,hmyrbit
6051,שהושמו,ehwemw
6052,מונע,mwny
6053,לרגל,lrgl
6054,יום,iwm
6055,הצהרת,hchrt
6056,בלפור,blpwr
6057,ובעקבות,wbyqbwt
6058,אירועים,airwyim
6059,אלימים,alimim
6060,פלשתיניים,pletiniim
6061,טענו,vynw
6062,כי,ki
6063,בסוף,bswp
6064,השבוע,hebwy
6065,הוכו,hwkw
6066,במרכז,bmrkz
6067,שכם,ekm
6068,01,01
6069,תושבים,twebim
6070,מקומיים,mqwmiim
6071,בידי,bidi
6072,סמוך,smwk
6073,לשוק,lewq
6074,הירקות,hirqwt
6075,בכפר,bkpr
6076,בלעא,blya
6077,בנפת,bnpt
6078,כרם,krm
6079,תקפו,tqpw
6080,שלושה,elweh
6081,בסכינים,bskinim
6082,רופא,rwpa
6083,מקומי,mqwmi
6084,עפיף,ypip
6085,בן,bn
6086,שאושפז,eawepz
6087,קשה,qeh
6088,בבית,bbit
6089,אל,al
6090,איתיחאד,aitixad
6091,בשכם,bekm
6092,מקורות,mqwrwt
6093,צבאיים,cbaiim
6094,מסרו,msrw
6095,כי,ki
6096,ביום,biwm
6097,ששי,eei
6098,בקבוק,bqbwq
6099,תבערה,tbyrh
6100,כוח,kwx
6101,משמר,memr
6102,הגבול,hgbwl
6103,ברחבת,brxbt
6104,כנסיית,knsiit
6105,בבית,bbit
6106,לחם,lxm
6107,אך,ak
6108,הוא,hwa
6109,התנפץ,htnpc
6110,מבלי,mbli
6111,ומבלי,wmbli
6112,לגרום,lgrwm
6113,לנזק,lnzq
6114,או,aw
6115,לנפגעים,lnpgyim
6116,מזריקת,mzriqt
6117,אבנים,abnim
6118,לעבר,lybr
6119,אוטובוס,awvwbws
6120,בחלחול,bxlxwl
6121,ביום,biwm
6122,ששי,eei
6123,קל,ql
6124,בראשה,braeh
6125,והיא,whia
6126,טופלה,vwplh
6127,במקום,bmqwm
6128,ארנס,arns
6129,ערך,yrk
6130,אתמול,atmwl
6131,ביקור,biqwr
6132,מפתיע,mptiy
6133,ברצועת,brcwyt
6134,עזה,yzh
6135,ושמע,wemy
6136,דיווחים,diwwxim
6137,על,yl
6138,ההתפרעויות,hhtprywiwt
6139,שם,em
6140,הנמשכות,hnmekwt
6141,זה,zh
6142,היום,hiwm
6143,ברציפות,brcipwt
6144,ארנס,arns
6145,למפקדי,lmpqdi
6146,באזור,bazwr
6147,על,yl
6148,רק,rq
6149,כשעה,keyh
6150,שעתיים,eytiim
6151,לפני,lpni
6152,הגיעו,hgiyw
6153,בעת,byt
6154,שמע,emy
6155,השר,her
6156,סקירות,sqirwt
6157,פיקוד,piqwd
6158,וממפקדי,wmmpqdi
6159,ברצועה,brcwyh
6160,בבית,bbit
6161,חאנון,xanwn
6162,נמשכו,nmekw
6163,ברצועת,brcwyt
6164,והם,whm
6165,התמקדו,htmqdw
6166,בעיקר,byiqr
6167,במחנות,bmxnwt
6168,הפליטים,hplivim
6169,בדרום,bdrwm
6170,הרצועה,hrcwyh
6171,וברפיח,wbrpix
6172,פלשתיניים,pletiniim
6173,דיווחו,diwwxw
6174,511,511
6175,בעיקר,byiqr
6176,לדבריהם,ldbrihm
6177,היו,hiw
6178,בין,bin
6179,לתושבים,ltwebim
6180,מקומיים,mqwmiim
6181,משעות,meywt
6182,הבוקר,hbwqr
6183,המוקדמות,hmwqdmwt
6184,כאשר,kaer
6185,מאות,mawt
6186,יידו,iidw
6187,אבנים,abnim
6188,על,yl
6189,חיילים,xiilim
6190,קצין,qcin
6191,בכיר,bkir
6192,הגדיר,hgdir
6193,המתרחש,hmtrxe
6194,ברצועה,brcwyh
6195,ביומיים,biwmiim
6196,כמלחמה,kmlxmh
6197,דובר,dwbr
6198,דיווח,diwwx
6199,על,yl
6200,05,05
6201,פצועים,pcwyim
6202,בלבד,blbd
6203,המקורות,hmqwrwt
6204,כי,ki
6205,כוחות,kwxwt
6206,עצרו,ycrw
6207,רבים,rbim
6208,המתפרעים,hmtpryim
6209,אתמול,atmwl
6210,הושלכו,hwelkw
6211,בקבוקי,bqbwqi
6212,על,yl
6213,של,el
6214,ברפיח,brpix
6215,הבקבוקים,hbqbwqim
6216,אך,ak
6217,גרמו,grmw
6218,נזק,nzq
6219,נמסר,nmsr
6220,כי,ki
6221,בכמה,bkmh
6222,מקומות,mqwmwt
6223,היו,hiw
6224,אתמול,atmwl
6225,ושלשום,welewm
6226,בערב,byrb
6227,התנגשויות,htngewiwt
6228,אלימות,alimwt
6229,בין,bin
6230,לחיילים,lxiilim
6231,מקורות,mqwrwt
6232,צבאיים,cbaiim
6233,מסרו,msrw
6234,כי,ki
6235,בעת,byt
6236,מרדף,mrdp
6237,אחרי,axri
6238,מיידי,miidi
6239,אבנים,abnim
6240,נפצע,npcy
6241,צעיר,cyir
6242,מקומי,mqwmi
6243,שניסה,enish
6244,להשליך,lhelik
6245,אבן,abn
6246,לעבר,lybr
6247,אחד,axd
6248,החיילים,hxiilim
6249,החייל,hxiil
6250,ירה,irh
6251,אותו,awtw
6252,באופן,bawpn
6253,הפצוע,hpcwy
6254,הועבר,hwybr
6255,לבית,lbit
6256,החולים,hxwlim
6257,הדסה,hdsh
6258,כרם,krm
6259,בירושלים,birwelim
6260,במחנה,bmxnh
6261,סמוך,smwk
6262,לשכם,lekm
6263,נפגע,npgy
6264,תושב,tweb
6265,מקומי,mqwmi
6266,מפגיעת,mpgiyt
6267,רימון,rimwn
6268,גז,gz
6269,מדמיע,mdmiy
6270,בידי,bidi
6271,חיילים,xiilim
6272,מקורות,mqwrwt
6273,מסרו,msrw
6274,כי,ki
6275,חיילים,xiilim
6276,שירדו,eirdw
6277,לבן,lbn
6278,בשכם,bekm
6279,ניפצו,nipcw
6280,בעזרת,byzrt
6281,אבנים,abnim
6282,זגוגיות,zgwgiwt
6283,של,el
6284,מכוניות,mkwniwt
6285,חונות,xwnwt
6286,של,el
6287,מקומיים,mqwmiim
6288,ביניהן,binihn
6289,גם,gm
6290,את,at
6291,מכוניתו,mkwnitw
6292,של,el
6293,דר,dr
6294,מוסטפא,mwsvpa
6295,מקבול,mqbwl
6296,מקורות,mqwrwt
6297,צבאיים,cbaiim
6298,לאחר,laxr
6299,בדיקה,bdiqh
6300,מפקד,mpqd
6301,באזור,bazwr
6302,התברר,htbrr
6303,כי,ki
6304,המעשה,hmyeh
6305,בוצע,bwcy
6306,על,yl
6307,ידי,idi
6308,חיילים,xiilim
6309,כוח,kwx
6310,ניהל,nihl
6311,אתמול,atmwl
6312,יריות,iriwt
6313,עם,ym
6314,רעולי,rywli
6315,פנים,pnim
6316,שירו,eirw
6317,על,yl
6318,סיור,siwr
6319,שגרתי,egrti
6320,בשכונת,bekwnt
6321,שאבורה,eabwrh
6322,שברפיח,ebrpix
6323,הפנים,hpnim
6324,ירו,irw
6325,מתוך,mtwk
6326,ספר,spr
6327,ונמלטו,wnmlvw
6328,במכונית,bmkwnit
6329,מרצדס,mrcds
6330,כחולה,kxwlh
6331,דובר,dwbr
6332,מסר,msr
6333,שהסיור,ehsiwr
6334,השיב,heib
6335,באש,bae
6336,לא,la
6337,על,yl
6338,נפגעים,npgyim
6339,זו,zw
6340,הפעם,hpym
6341,שלישית,elieit
